,Timestamp,Side,Base Currency Vol.,Quote Currency Vol.,Vol. (USD),Liquidity in Pool,PoolID
27,2021-06-18 05:25:39,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x8591b15fe0a4e025a479738e82550f42dd5834828e1156248042b32dd5949a41-0
28,2021-06-18 05:23:36,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x9807ba43b1b7271e3698a8baac1e50de40cbd772b59ce3d599ef77efb220ebf9-1
29,2021-06-18 05:17:03,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xc60ad335a3393fbe6bcbb4950092be5c4bd49ef7ed407cdc16012ae6e1c5de72-0
30,2021-06-18 05:16:32,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xffdcae72a85532c34c1481466f94235baedc6a33511bb79955d294eb3fec8e5d-0
31,2021-06-18 05:15:35,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x4f769ea6205929821862e990639e2e8d2819f9f44148bc6422418653fda8e659-0
32,2021-06-18 04:46:46,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x39413acb7d2d804d71c712ab944f8aa943c817befff03dc7aa0a30c2ae2712bd-1
33,2021-06-18 04:45:11,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xd2bc52b0fb58bccade55618722423a6adc2339659c0af8b691f0cc80b8b960ac-0
34,2021-06-18 04:44:51,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x62f0c956e952351df3f89e82461a6f6ad2fea1b5f21bf54e0309891ae7c0d62a-0
35,2021-06-18 04:43:08,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xfb5ee052d0c2f4430d56503feaf9d3b8fdcdab6e6500383482de7f3ccd375dac-0
36,2021-06-18 04:40:13,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xf16eae4d48d29f043c27fa1ea633c0f60336cc943daaaa532b3215260f93e196-0
37,2021-06-18 04:30:14,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x3c8618f512e352903f9136e01a0ad671f84d71f6e8f390857f3d2ad2bebfe8ba-0
38,2021-06-18 04:27:32,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xaf0f68fd2a181b93430c78e9c5c79726e70b75dc329383846d4e5423540f6b55-0
39,2021-06-18 04:15:36,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xe9378769fe19b83d88188b2f794f23d8bae0e5e0047d96f90d5bae41670735af-0
40,2021-06-18 04:15:09,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x2f8b31803e0da4c95fb0a0e2bda18364201ac1d023ca26de688380ec591de9b1-0
41,2021-06-18 04:08:35,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xdab2962f8cd6cf13d4aea931563be3234af432d113b888d52aaee6ababb8a9fe-0
42,2021-06-18 04:03:56,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xfdc299773ecc2f22d15f080f0fb30fbd2848377f9af76a4f19664e85a16ee0f3-0
43,2021-06-18 03:58:22,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x0dc6edf05283f36f05cfe4fc4ab71122a3633e401466f49dd6e5806cfd79cff6-0
44,2021-06-18 03:49:13,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x65a0c07b2949f05012e57f75c8f143f22face1ad57cf1691801f7ccf676ba168-0
45,2021-06-18 03:42:16,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x0c081450b07cdf1e6c9ecd0d0c38f18fa4886dcdbb18fc0957e65cf7734d2327-0
46,2021-06-18 03:41:56,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x3ffbd3b4c95ed73cc8520d9f6e45287eb7d95a2662010f51dc86b3591997aabe-0
47,2021-06-18 03:41:04,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xc1e9565a45cb2f17f8c2342bf9c35216d9e5e17b36386364e47250551acf3a45-0
48,2021-06-18 03:29:22,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x591a4acb674b012877eeb5c382ba94cb50075cf7a7b252bd9519afe3582a5f68-0
49,2021-06-18 03:23:08,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x744d15e06698bcf6a5d23b64e1833ceaab2c42060befa27e1439a828f6af7450-0
50,2021-06-18 03:20:46,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xd42b90bf0fb225c1899d9cc1deb3fee6b74af1c1fd5b4f90db93f4af70611f84-0
51,2021-06-18 03:02:24,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xc088f2ccef271fddc813f2f9ea33c00a60421392a0f27e74cdd5bb5550972307-0
52,2021-06-18 02:57:33,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xe123aaa16c8037dcd1c994f6068c9e4c8210012cbede5725ebefd996f3bf85a8-0
53,2021-06-18 02:51:48,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x809a6ca43c50cbd7796971d4aa03ffccee6a305f82d3ca7fac5aba1ad8a0a986-0
54,2021-06-18 02:51:44,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x73282b6e51832a14c5ce8bf9b204e9ec444e81d8ca7307f01ddeaa753cc7907a-0
55,2021-06-18 02:51:43,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xd10eb06edb6a74764e3c56b5482a01e6bf0965a8d4af09c43775345b84cf4333-0
